Date,Open,High,Low,Close,Volume
2017-03-23,102.78,103.28,102.57,102.74,172024
2017-03-22,103.1,103.21,102.38,103.04,300427
2017-03-21,104.78,104.92,103.32,103.56,412080
2017-03-20,104.37,104.69,104.07,104.12,200706
2017-03-17,104.73,104.82,104.19,104.32,516765
2017-03-16,105.72,105.95,105.22,105.28,117642
2017-03-15,104.72,105.53,104.64,105.28,183405
2017-03-14,104.58,104.69,104.13,104.21,140512
2017-03-13,105.41,105.82,105.37,105.44,251382
2017-03-10,104.9,105.04,104.51,104.75,309098
2017-03-09,104.23,104.52,104.03,104.3,161872
2017-03-08,104.65,104.68,103.92,103.95,194023
2017-03-07,104.78,105.11,104.6,104.74,184570
2017-03-06,105.19,105.19,104.83,104.97,174239
2017-03-03,105.31,105.56,105.12,105.38,135347
2017-03-02,105.61,105.89,105.21,105.43,271833
2017-03-01,106.76,106.91,106.46,106.68,258587
2017-02-28,105.62,105.65,105.05,105.2,210827
2017-02-27,105.72,106.25,105.68,106.22,194305
2017-02-24,105.89,106.02,105.53,105.77,193577
2017-02-23,106.62,106.82,106.34,106.53,195341
2017-02-22,106.19,106.4,106.06,106.36,201079
2017-02-21,106.07,106.53,105.82,106.27,289846
2017-02-17,104.59,105.71,104.45,105.71,258463
2017-02-16,105.25,105.62,105.14,105.39,210771
2017-02-15,105.72,105.72,105.36,105.62,203404
2017-02-14,106.31,106.44,105.76,106.42,249462
2017-02-13,106.06,106.45,105.89,106.12,444879
2017-02-10,104.65,105.2,104.6,104.95,405393
2017-02-09,103.96,104.11,103.32,104.06,479063
2017-02-08,105.38,105.45,104.93,105.31,267995
2017-02-07,105.53,105.54,104.82,105.1,370387
2017-02-06,106.18,106.43,104.83,105.35,471019
2017-02-03,106.64,107.35,106.63,107.03,201712
2017-02-02,106.64,106.7,105.96,106.48,267621
2017-02-01,107.7,107.99,106.96,107.16,348703
2017-01-31,108.04,108.19,106.98,107.62,343083
2017-01-30,108.18,108.39,107.43,107.92,171231
2017-01-27,108.86,108.86,108.32,108.49,211591
2017-01-26,111.05,111.56,110.59,110.61,196218
2017-01-25,110.29,110.9,110.19,110.69,250773
2017-01-24,108.7,109.63,108.49,109.37,327206
2017-01-23,110.13,110.13,109.48,109.97,148806
2017-01-20,110.75,111.01,110.32,110.56,131861
2017-01-19,111.16,111.52,110.55,110.93,114879
2017-01-18,110.37,110.62,110.19,110.45,149005
2017-01-17,110.51,110.59,109.87,110.09,204953
2017-01-13,111.4,111.47,111.12,111.39,121629
2017-01-12,111.23,111.51,110.04,111.23,235256
2017-01-11,110.72,111.48,110.72,111.48,203761
2017-01-10,110.72,111.63,110.45,111.34,230564
2017-01-09,111.09,111.53,111.08,111.32,146018
2017-01-06,111.42,111.79,111.02,111.7,184523
2017-01-05,112.67,112.86,111.86,111.98,563704
2017-01-04,111.83,112.76,111.71,112.67,269537
2017-01-03,109.87,110.33,109.55,110.22,219393
2016-12-30,109.5,109.62,108.62,108.96,165055
2016-12-29,109.05,109.36,108.58,108.81,195385
2016-12-28,110.59,110.84,110.08,110.1,113621
2016-12-27,111.08,111.53,110.67,111.01,252240
2016-12-23,112.3,112.61,112.29,112.41,109635
2016-12-22,112.22,112.41,112.01,112.18,112620
2016-12-21,112.82,112.91,112.5,112.61,94078
2016-12-20,112.83,113.48,112.73,113.12,277343
2016-12-19,112.79,113.64,112.72,113.28,184909
2016-12-16,112.38,112.91,112.23,112.5,219225
2016-12-15,113.36,113.62,113.15,113.41,227192
2016-12-14,113.39,113.85,112.48,112.56,173414
2016-12-13,113.63,114.52,113.58,114.42,217136
2016-12-12,113.25,113.85,112.86,113.3,264254
2016-12-09,114.19,114.49,114.0,114.34,314252
2016-12-08,114.4,114.51,113.93,114.19,463554
2016-12-07,111.22,113.22,111.22,112.92,326663
2016-12-06,109.19,109.63,108.96,109.59,144049
2016-12-05,109.1,109.79,109.06,109.31,168791
2016-12-02,108.74,109.05,108.5,108.63,205306
2016-12-01,109.42,110.37,109.25,109.5,280355
2016-11-30,110.29,110.47,109.93,110.2,249122
2016-11-29,109.86,110.24,109.65,109.98,205381
2016-11-28,109.68,109.68,109.16,109.38,187916
2016-11-25,109.43,109.86,109.16,109.52,206247
2016-11-23,105.5,106.79,105.41,106.46,291048
2016-11-22,105.72,105.87,105.29,105.78,164777
2016-11-21,106.2,106.61,106.12,106.46,234849
2016-11-18,106.05,106.39,105.91,106.03,253345
2016-11-17,105.06,105.28,104.47,105.28,216427
2016-11-16,104.73,104.94,104.48,104.66,242107
2016-11-15,104.1,104.59,103.96,104.59,152726
2016-11-14,103.98,104.53,103.67,103.93,243869
2016-11-11,103.62,104.17,103.54,104.08,170559
2016-11-10,103.14,103.57,102.21,103.07,400004
2016-11-09,102.6,104.85,102.6,103.96,610467
2016-11-08,105.06,107.29,104.71,105.81,246262
2016-11-07,103.78,104.65,103.65,104.58,381181
2016-11-04,102.76,103.38,102.5,102.79,345663
2016-11-03,105.79,106.15,105.0,105.22,344627
2016-11-02,106.13,106.61,105.18,105.42,244550
2016-11-01,107.63,107.63,106.16,106.67,330519
2016-10-31,107.4,107.66,107.29,107.53,145214
2016-10-28,106.78,107.05,106.37,106.75,151086
2016-10-27,107.28,107.39,106.75,106.78,232415
2016-10-26,106.86,107.57,106.69,107.39,227124
2016-10-25,107.32,107.62,107.14,107.15,172027
2016-10-24,107.04,107.41,106.95,107.34,151925
2016-10-21,106.79,107.25,106.55,107.17,187902
2016-10-20,107.73,108.14,107.51,107.98,173766
2016-10-19,107.04,107.27,106.82,106.82,121114
2016-10-18,107.41,107.41,106.77,106.97,202319
2016-10-17,107.09,107.7,106.99,107.32,176331
2016-10-14,107.21,107.7,106.97,107.0,168635
2016-10-13,106.48,107.11,106.08,106.63,249163
2016-10-12,106.92,107.24,106.58,107.06,169640
2016-10-11,107.67,107.67,106.94,107.21,241576
2016-10-10,107.97,108.63,107.91,108.24,177658
2016-10-07,107.81,107.94,107.12,107.74,246176
2016-10-06,108.05,108.45,108.02,108.26,143701
2016-10-05,108.25,108.95,108.25,108.84,217578
2016-10-04,107.44,108.07,107.02,107.22,178666
2016-10-03,106.44,107.54,106.31,107.16,655560
2016-09-30,107.16,108.39,106.92,107.91,404737
2016-09-29,108.35,108.65,107.63,107.84,429851
2016-09-28,109.11,109.48,108.3,109.36,202275
2016-09-27,108.8,108.8,108.06,108.55,355215
2016-09-26,107.2,107.63,106.88,107.43,345755
2016-09-23,107.91,108.15,107.57,107.95,438414
2016-09-22,110.85,111.16,110.39,110.82,553399
2016-09-21,109.75,110.28,108.26,109.58,438926
2016-09-20,107.19,107.35,106.72,106.85,213027
2016-09-19,105.72,106.44,105.49,105.56,241146
2016-09-16,105.39,105.68,104.92,105.16,654254
2016-09-15,107.36,108.6,107.17,108.41,245181
2016-09-14,108.11,108.11,107.62,107.74,318054
2016-09-13,109.49,109.92,108.59,108.99,381550
2016-09-12,108.86,110.54,108.86,110.41,267625
2016-09-09,110.09,110.23,108.84,108.86,403928
2016-09-08,110.8,111.25,110.68,111.02,178387
2016-09-07,111.34,111.74,110.62,110.77,292845
2016-09-06,110.56,110.78,110.17,110.7,318896
2016-09-02,111.48,112.01,111.48,112.0,369539
2016-09-01,111.55,111.92,110.6,111.03,371832
2016-08-31,111.18,111.34,110.13,110.66,430885
2016-08-30,111.21,111.38,110.96,111.22,184795
2016-08-29,110.11,110.5,110.1,110.4,224134
2016-08-26,108.5,109.46,108.23,108.82,441957
2016-08-25,110.79,110.98,110.29,110.35,385896
2016-08-24,111.54,111.72,110.76,110.92,401682
2016-08-23,110.33,110.46,109.91,109.91,185161
2016-08-22,110.37,110.79,110.28,110.61,361446
2016-08-19,109.6,109.94,109.54,109.74,388909
2016-08-18,108.48,109.31,108.48,109.12,844994
2016-08-17,108.74,109.37,108.73,109.35,585225
2016-08-16,107.34,107.99,107.15,107.59,241571
2016-08-15,107.79,108.15,107.79,107.87,130965
2016-08-12,107.86,108.42,107.76,108.06,261503
2016-08-11,107.55,108.2,107.45,108.04,288548
2016-08-10,107.35,107.66,107.24,107.29,208593
2016-08-09,107.73,107.79,107.05,107.72,372927
2016-08-08,108.37,108.73,107.6,107.71,728060
2016-08-05,106.27,106.63,105.88,106.38,657201
2016-08-04,103.0,103.2,102.12,103.03,988988
